hs_contact_id,user_id,email,first_name,last_name,country,lifecycle_stage,lead_source,plan,created_date,last_activity_date,industry,company_size,subscribed_to_marketing
hs_c_b2582b7803,usr_00001,jackson.green22@gmail.com,Jackson,Green,United States,lead,Paid Social,free,2024-01-01,2024-02-13,Media,1-10,True
hs_c_80dbdc4e0e,usr_00003,linda.adams25@labs.dev,Linda,Adams,United States,customer,Paid Search,pro,2024-01-01,2024-02-22,Healthcare,1-10,True
hs_c_dd94425424,usr_00004,justin.nelson16@digital.com,Justin,Nelson,United States,lead,Referral,free,2024-01-01,2024-02-06,Media,11-50,False
hs_c_26e49ce2e4,usr_00005,oliver.singh1@labs.dev,Oliver,Singh,United States,customer,Paid Social,pro,2024-01-01,2024-01-20,Legal,51-200,True
hs_c_12cf91b94b,usr_00007,brian.nguyen14@yahoo.com,Brian,Nguyen,United States,customer,Paid Search,pro,2024-01-01,2024-02-18,Education,51-200,True
hs_c_c5d0cbb9b3,usr_00008,evelyn.reyes50@works.io,Evelyn,Reyes,United States,customer,Referral,pro,2024-01-01,2024-02-01,Education,51-200,True
hs_c_10df928558,usr_00009,justin.martin44@ventures.co,Justin,Martin,United States,lead,Referral,free,2024-01-02,2024-01-28,Finance,11-50,True
hs_c_3ffbe60616,usr_00012,olivia.wilson70@works.io,Olivia,Wilson,United States,customer,Referral,pro,2024-01-02,2024-02-16,Healthcare,51-200,True
hs_c_f58e68cb1c,usr_00013,ella.scott74@digital.com,Ella,Scott,Netherlands,lead,Organic Search,free,2024-01-02,2024-01-07,Education,51-200,True
hs_c_627553381b,usr_00014,eric.wang2@ventures.co,Eric,Wang,United States,customer,Paid Social,pro,2024-01-02,2024-02-13,Legal,1-10,True
hs_c_516802ce8c,usr_00016,thomas.anderson19@techcorp.com,Thomas,Anderson,United States,lead,Paid Search,free,2024-01-02,2024-01-04,SaaS,51-200,True
hs_c_cb42792cab,usr_00019,joseph.singh49@gmail.com,Joseph,Singh,United States,lead,Paid Search,free,2024-01-03,2024-02-27,Education,11-50,True
hs_c_23d3554451,usr_00020,brandon.king96@gmail.com,Brandon,King,United Kingdom,customer,Paid Search,pro,2024-01-03,2024-01-10,Finance,1-10,True
hs_c_741f7d3ade,usr_00021,elijah.mitchell97@startup.ai,Elijah,Mitchell,United States,customer,Paid Search,pro,2024-01-03,2024-01-06,Real Estate,51-200,True
hs_c_b4eed422f2,usr_00022,eric.reyes38@company.io,Eric,Reyes,United States,lead,Paid Search,free,2024-01-03,2024-02-04,Media,1-10,True
hs_c_6f82d20105,usr_00023,kevin.jones95@yahoo.com,Kevin,Jones,United States,customer,Organic Search,business,2024-01-03,2024-03-02,Legal,1-10,False
hs_c_375265b32c,usr_00024,ethan.williams72@techcorp.com,Ethan,Williams,United States,customer,Paid Search,pro,2024-01-03,2024-01-26,Finance,1-10,False
hs_c_51641a9576,usr_00025,david.nguyen43@gmail.com,David,Nguyen,United States,customer,Referral,business,2024-01-03,2024-01-21,Media,51-200,True
hs_c_cf89e73041,usr_00029,aiden.adams29@startup.ai,Aiden,Adams,United States,customer,Referral,pro,2024-01-04,2024-02-01,E-commerce,51-200,True
hs_c_35b7e6a45f,usr_00030,liam.green97@company.io,Liam,Green,United States,lead,Referral,free,2024-01-05,2024-01-13,Real Estate,51-200,False
hs_c_2b69f82aa2,usr_00033,aaron.davis70@techcorp.com,Aaron,Davis,United States,lead,Organic Search,free,2024-01-05,2024-01-21,Finance,1-10,True
hs_c_70956fb57c,usr_00034,natalie.chen66@works.io,Natalie,Chen,United States,customer,Organic Search,pro,2024-01-05,2024-02-26,Media,11-50,True
hs_c_060bb611d5,usr_00035,patricia.young66@startup.ai,Patricia,Young,United States,lead,Referral,free,2024-01-05,2024-01-19,Marketing,1-10,True
hs_c_b5cf789b77,usr_00037,mason.miller90@works.io,Mason,Miller,United States,customer,Organic Search,pro,2024-01-05,2024-01-25,Education,51-200,True
hs_c_66c0ecd74e,usr_00038,adam.jones59@gmail.com,Adam,Jones,United States,customer,Paid Search,business,2024-01-06,2024-02-25,Healthcare,1-10,True
hs_c_13f85d0594,usr_00039,jennifer.jones33@yahoo.com,Jennifer,Jones,United States,customer,Referral,pro,2024-01-06,2024-02-16,Legal,1-10,True
hs_c_08c1e3403c,usr_00040,adam.harris50@ventures.co,Adam,Harris,United States,customer,Paid Search,business,2024-01-06,2024-02-27,Media,51-200,True
hs_c_77506bb3e6,usr_00041,ethan.carter50@gmail.com,Ethan,Carter,United States,customer,Organic Search,pro,2024-01-06,2024-02-07,Marketing,51-200,True
hs_c_90e62410f7,usr_00043,aaron.singh88@techcorp.com,Aaron,Singh,United States,lead,Paid Search,free,2024-01-06,2024-01-27,Finance,51-200,True
hs_c_d39471252a,usr_00044,jennifer.young85@ventures.co,Jennifer,Young,Netherlands,customer,Referral,pro,2024-01-06,2024-02-05,SaaS,11-50,True
hs_c_56a13609a7,usr_00045,aiden.harris70@ventures.co,Aiden,Harris,United States,customer,Referral,pro,2024-01-07,2024-02-13,Finance,51-200,True
hs_c_8dd94737fd,usr_00046,karen.green72@works.io,Karen,Green,United States,customer,Referral,pro,2024-01-07,2024-02-24,Consulting,1-10,True
hs_c_1e3a800509,usr_00048,richard.scott83@ventures.co,Richard,Scott,United States,lead,Paid Search,free,2024-01-07,2024-01-18,Legal,1-10,True
hs_c_0b302de248,usr_00050,kevin.kim60@works.io,Kevin,Kim,United States,lead,Direct,free,2024-01-07,2024-01-21,Legal,1-10,True
hs_c_07a83dba31,usr_00052,olivia.wilson37@outlook.com,Olivia,Wilson,United States,customer,Paid Social,pro,2024-01-07,2024-01-24,Real Estate,1-10,False
hs_c_fd1b0e0c6a,usr_00053,lily.jackson58@labs.dev,Lily,Jackson,United States,lead,Organic Search,free,2024-01-07,2024-02-08,Healthcare,51-200,False
hs_c_79c3122b56,usr_00055,mason.anderson32@startup.ai,Mason,Anderson,United States,lead,Paid Social,free,2024-01-08,2024-01-21,E-commerce,51-200,True
hs_c_29f9b73f2e,usr_00056,madison.carter18@startup.ai,Madison,Carter,United States,customer,Paid Social,pro,2024-01-08,2024-02-18,Healthcare,11-50,True
hs_c_173bdc2abd,usr_00058,david.reyes18@techcorp.com,David,Reyes,United States,lead,Referral,free,2024-01-08,2024-02-14,Legal,1-10,True
hs_c_8bcc7bc559,usr_00060,oliver.adams71@gmail.com,Oliver,Adams,Canada,lead,Paid Social,free,2024-01-08,2024-01-11,Finance,51-200,True
hs_c_a5c5769dbb,usr_00061,tyler.wang47@yahoo.com,Tyler,Wang,Spain,customer,Paid Search,business,2024-01-08,2024-02-03,Education,1-10,False
hs_c_0ecad757b0,usr_00062,tyler.nguyen60@yahoo.com,Tyler,Nguyen,United States,customer,Paid Search,business,2024-01-08,2024-02-21,Legal,51-200,False
hs_c_2103813d3b,usr_00063,jennifer.adams2@works.io,Jennifer,Adams,United States,lead,Referral,free,2024-01-08,2024-01-15,E-commerce,51-200,False
hs_c_d292858bd5,usr_00065,oliver.taylor29@gmail.com,Oliver,Taylor,France,customer,Paid Search,pro,2024-01-08,2024-01-25,Media,1-10,True
hs_c_a7b2006c03,usr_00069,noah.nguyen33@works.io,Noah,Nguyen,United States,customer,Paid Social,business,2024-01-09,2024-01-24,Education,1-10,True
hs_c_471411db39,usr_00071,mary.singh22@labs.dev,Mary,Singh,United States,lead,Organic Search,free,2024-01-10,2024-01-12,E-commerce,1-10,False
hs_c_e4d58b23e8,usr_00072,jackson.moore24@yahoo.com,Jackson,Moore,United States,customer,Referral,pro,2024-01-10,2024-02-05,Consulting,11-50,True
hs_c_69ac73e08c,usr_00075,barbara.kim81@yahoo.com,Barbara,Kim,Canada,customer,Direct,business,2024-01-10,2024-03-05,Legal,1-10,True
hs_c_d9f054ebf3,usr_00076,lily.kim22@gmail.com,Lily,Kim,United States,lead,Paid Search,free,2024-01-10,2024-02-16,Finance,1-10,False
hs_c_8645596489,usr_00077,charlotte.adams93@gmail.com,Charlotte,Adams,Singapore,customer,Paid Search,pro,2024-01-10,2024-02-08,Finance,1-10,True
hs_c_159b5ad818,usr_00079,elijah.taylor85@digital.com,Elijah,Taylor,Canada,lead,Paid Search,free,2024-01-10,2024-02-24,Legal,11-50,True
hs_c_91748ffbf7,usr_00082,adam.taylor61@yahoo.com,Adam,Taylor,India,lead,Referral,free,2024-01-10,2024-02-21,Real Estate,51-200,True
hs_c_3f026116cf,usr_00083,tyler.wang12@outlook.com,Tyler,Wang,Italy,customer,Referral,pro,2024-01-11,2024-02-08,Media,51-200,True
hs_c_4a359d4c02,usr_00085,mason.green55@works.io,Mason,Green,United States,lead,Paid Search,free,2024-01-11,2024-02-03,E-commerce,11-50,False
hs_c_5765f7b175,usr_00086,brandon.baker95@digital.com,Brandon,Baker,United States,lead,Referral,free,2024-01-11,2024-02-21,Real Estate,1-10,True
hs_c_44878ba64d,usr_00087,barbara.thompson11@company.io,Barbara,Thompson,Italy,customer,Referral,pro,2024-01-11,2024-01-18,Finance,51-200,True
hs_c_f98a01c1e8,usr_00090,mason.green55@yahoo.com,Mason,Green,United States,lead,Paid Search,free,2024-01-12,2024-01-13,Real Estate,11-50,True
hs_c_f2328c29a2,usr_00091,thomas.wang47@digital.com,Thomas,Wang,United States,lead,Paid Search,free,2024-01-12,2024-01-30,Real Estate,11-50,True
hs_c_c392932ad2,usr_00093,elizabeth.green33@labs.dev,Elizabeth,Green,Sweden,customer,Paid Social,pro,2024-01-13,2024-01-29,Finance,51-200,True
hs_c_6f9971b45e,usr_00094,noah.adams96@outlook.com,Noah,Adams,United States,lead,Organic Search,free,2024-01-13,2024-01-29,E-commerce,11-50,True
hs_c_e6fe77c201,usr_00097,adam.taylor12@ventures.co,Adam,Taylor,Sweden,customer,Referral,pro,2024-01-13,2024-02-29,Marketing,11-50,True
hs_c_d5d785386c,usr_00098,noah.garcia52@ventures.co,Noah,Garcia,India,lead,Referral,free,2024-01-13,2024-02-12,Real Estate,51-200,True
hs_c_6732883bdc,usr_00100,james.jackson5@company.io,James,Jackson,France,lead,Paid Search,free,2024-01-13,2024-01-16,Real Estate,51-200,True
hs_c_f66925db54,usr_00105,evelyn.jackson1@digital.com,Evelyn,Jackson,Netherlands,lead,Referral,free,2024-01-14,2024-01-19,Finance,1-10,True
hs_c_b9b35e402b,usr_00106,jackson.miller38@works.io,Jackson,Miller,United Kingdom,lead,Paid Search,free,2024-01-14,2024-01-31,Healthcare,1-10,True
hs_c_bf55f09ec8,usr_00107,brandon.singh74@works.io,Brandon,Singh,United States,lead,Paid Search,free,2024-01-14,2024-01-19,Finance,51-200,True
hs_c_50389671d0,usr_00109,kevin.roberts15@labs.dev,Kevin,Roberts,India,customer,Paid Social,pro,2024-01-15,2024-03-11,Finance,1-10,True
hs_c_6c4f7d7c22,usr_00110,ethan.harris53@startup.ai,Ethan,Harris,United States,customer,Paid Search,business,2024-01-15,2024-03-01,Healthcare,51-200,True
hs_c_88eb4f74ee,usr_00111,aiden.smith37@company.io,Aiden,Smith,United States,customer,Paid Search,business,2024-01-15,2024-02-12,Marketing,11-50,False
hs_c_41b4a5086d,usr_00112,kevin.wright23@works.io,Kevin,Wright,United States,customer,Paid Search,pro,2024-01-15,2024-01-25,Media,11-50,True
hs_c_d7597d36f8,usr_00113,olivia.white96@yahoo.com,Olivia,White,Australia,customer,Referral,pro,2024-01-16,2024-01-21,E-commerce,11-50,True
hs_c_7aa3ddad3f,usr_00114,susan.martin27@techcorp.com,Susan,Martin,United States,customer,Paid Social,pro,2024-01-16,2024-02-04,E-commerce,1-10,True
hs_c_897bbec375,usr_00116,abigail.kumar6@works.io,Abigail,Kumar,India,customer,Paid Search,pro,2024-01-16,2024-03-16,Media,11-50,False
hs_c_1d0cfeb61c,usr_00117,evelyn.king63@techcorp.com,Evelyn,King,Sweden,lead,Paid Search,free,2024-01-16,2024-01-18,Consulting,51-200,True
hs_c_e53413389f,usr_00119,isabella.patel45@works.io,Isabella,Patel,United Kingdom,customer,Paid Search,pro,2024-01-16,2024-02-02,Education,51-200,True
hs_c_3256470eab,usr_00122,evelyn.thompson34@works.io,Evelyn,Thompson,United States,customer,Paid Search,business,2024-01-16,2024-02-16,E-commerce,11-50,False
hs_c_dafdd7be0f,usr_00123,lucas.flores24@startup.ai,Lucas,Flores,United States,lead,Organic Search,free,2024-01-16,2024-03-05,Media,11-50,True
hs_c_c860b7de8d,usr_00125,oliver.wilson13@company.io,Oliver,Wilson,UAE,customer,Paid Search,business,2024-01-17,2024-02-09,Finance,1-10,True
hs_c_b084c4d0b1,usr_00126,aiden.carter19@company.io,Aiden,Carter,United States,customer,Referral,pro,2024-01-17,2024-02-04,Consulting,11-50,False
hs_c_fead203574,usr_00130,logan.wright47@startup.ai,Logan,Wright,United States,customer,Referral,pro,2024-01-18,2024-02-08,Legal,51-200,False
hs_c_6c3f15b191,usr_00134,nathan.anderson81@ventures.co,Nathan,Anderson,United States,lead,Paid Social,free,2024-01-18,2024-03-09,Real Estate,51-200,False
hs_c_0092701fac,usr_00135,ava.jones44@yahoo.com,Ava,Jones,United States,customer,Paid Search,business,2024-01-19,2024-03-15,E-commerce,11-50,True
hs_c_5d325e19ad,usr_00137,tyler.mitchell67@digital.com,Tyler,Mitchell,United States,customer,Paid Search,pro,2024-01-19,2024-03-17,Media,11-50,False
