stripe_customer_id,user_id,email,country,created_at,delinquent,currency,default_payment_method
cus_fcc17489b1b240,usr_00003,linda.adams25@labs.dev,United States,2024-01-01,False,usd,card
cus_eeeb7028b03f4c,usr_00005,oliver.singh1@labs.dev,United States,2024-01-01,False,usd,bank_transfer
cus_0edaf8caff534a,usr_00007,brian.nguyen14@yahoo.com,United States,2024-01-01,False,usd,card
cus_d04b1e149db941,usr_00008,evelyn.reyes50@works.io,United States,2024-01-01,False,usd,bank_transfer
cus_ffe7202a228a43,usr_00012,olivia.wilson70@works.io,United States,2024-01-02,False,usd,card
cus_8a4f0a87f0fc4d,usr_00014,eric.wang2@ventures.co,United States,2024-01-02,False,usd,bank_transfer
cus_8bac1e06c77841,usr_00020,brandon.king96@gmail.com,United Kingdom,2024-01-03,False,usd,bank_transfer
cus_398efad70be846,usr_00021,elijah.mitchell97@startup.ai,United States,2024-01-03,False,usd,card
cus_927e7a4bafa147,usr_00023,kevin.jones95@yahoo.com,United States,2024-01-03,False,usd,bank_transfer
cus_214630151de64d,usr_00024,ethan.williams72@techcorp.com,United States,2024-01-03,False,usd,bank_transfer
cus_1a55c693a7174d,usr_00025,david.nguyen43@gmail.com,United States,2024-01-03,False,usd,bank_transfer
cus_6f0000b7833448,usr_00029,aiden.adams29@startup.ai,United States,2024-01-04,False,usd,card
cus_d3272359c63e46,usr_00034,natalie.chen66@works.io,United States,2024-01-05,False,usd,card
cus_eb6ab3458c1546,usr_00037,mason.miller90@works.io,United States,2024-01-05,False,usd,bank_transfer
cus_cf9b7996428c45,usr_00038,adam.jones59@gmail.com,United States,2024-01-06,False,usd,bank_transfer
cus_baa1bab46db64e,usr_00039,jennifer.jones33@yahoo.com,United States,2024-01-06,False,usd,bank_transfer
cus_af7c01ef9d0a4e,usr_00040,adam.harris50@ventures.co,United States,2024-01-06,True,usd,bank_transfer
cus_c4767156705249,usr_00041,ethan.carter50@gmail.com,United States,2024-01-06,False,usd,bank_transfer
cus_0f77ff8e6d4649,usr_00044,jennifer.young85@ventures.co,Netherlands,2024-01-06,False,usd,bank_transfer
cus_8d5262988c7d4b,usr_00045,aiden.harris70@ventures.co,United States,2024-01-07,False,usd,card
cus_4ad6355b8b5c46,usr_00046,karen.green72@works.io,United States,2024-01-07,False,usd,card
cus_2b31d2ebe53f47,usr_00052,olivia.wilson37@outlook.com,United States,2024-01-07,False,usd,card
cus_07d503d4b88449,usr_00056,madison.carter18@startup.ai,United States,2024-01-08,False,usd,bank_transfer
cus_5c2bc1b1220146,usr_00061,tyler.wang47@yahoo.com,Spain,2024-01-08,False,usd,bank_transfer
cus_4180c75b07c542,usr_00062,tyler.nguyen60@yahoo.com,United States,2024-01-08,False,usd,card
cus_1da9518969654c,usr_00065,oliver.taylor29@gmail.com,France,2024-01-08,False,usd,bank_transfer
cus_d71f3fe35a3649,usr_00069,noah.nguyen33@works.io,United States,2024-01-09,False,usd,card
cus_dbb3e47e4c244d,usr_00072,jackson.moore24@yahoo.com,United States,2024-01-10,False,usd,card
cus_5e8518e75e5341,usr_00075,barbara.kim81@yahoo.com,Canada,2024-01-10,False,usd,bank_transfer
cus_b4e4e1866c254b,usr_00077,charlotte.adams93@gmail.com,Singapore,2024-01-10,False,usd,bank_transfer
cus_782c88c3ab114d,usr_00083,tyler.wang12@outlook.com,Italy,2024-01-11,False,usd,card
cus_ff304645456d4b,usr_00087,barbara.thompson11@company.io,Italy,2024-01-11,False,usd,bank_transfer
cus_748046bf4a314e,usr_00093,elizabeth.green33@labs.dev,Sweden,2024-01-13,False,usd,bank_transfer
cus_c4f5b35e814049,usr_00097,adam.taylor12@ventures.co,Sweden,2024-01-13,True,usd,bank_transfer
cus_4957ab814ec04d,usr_00109,kevin.roberts15@labs.dev,India,2024-01-15,False,usd,bank_transfer
cus_41bca28a8d7542,usr_00110,ethan.harris53@startup.ai,United States,2024-01-15,False,usd,bank_transfer
cus_a44778bd431648,usr_00111,aiden.smith37@company.io,United States,2024-01-15,False,usd,card
cus_ebb5d6306f0649,usr_00112,kevin.wright23@works.io,United States,2024-01-15,True,usd,card
cus_ee47af6174b34e,usr_00113,olivia.white96@yahoo.com,Australia,2024-01-16,False,usd,bank_transfer
cus_9d9f5d823f684e,usr_00114,susan.martin27@techcorp.com,United States,2024-01-16,False,usd,bank_transfer
cus_4cb626a524374a,usr_00116,abigail.kumar6@works.io,India,2024-01-16,False,usd,bank_transfer
cus_f52be54079a140,usr_00119,isabella.patel45@works.io,United Kingdom,2024-01-16,False,usd,bank_transfer
cus_a28dcd330a3f41,usr_00122,evelyn.thompson34@works.io,United States,2024-01-16,False,usd,card
cus_d60b910907c744,usr_00125,oliver.wilson13@company.io,UAE,2024-01-17,False,usd,card
cus_9e89384b5bb54c,usr_00126,aiden.carter19@company.io,United States,2024-01-17,True,usd,bank_transfer
cus_12a9469e82494b,usr_00130,logan.wright47@startup.ai,United States,2024-01-18,False,usd,card
cus_84ac0265ef5f41,usr_00135,ava.jones44@yahoo.com,United States,2024-01-19,False,usd,card
